Price (TL),Product Name,Ranking,Comment Count
"
27.999
","
LENOVO LEGION 7 CORE İ7 10750H 2.6GHZ-32GB-2TB SSD-15.6""-RTX2070 SUPER 8GB-W10
","
10
","
(1)
"
"
11.948
","
ASUS EXPERTBOOK P5440FA CORE İ7 8565U 1.8GHZ-8GB RAM-512GB SSD-14""-INT-W10 PRO
","
0
","
(0)
"
"
18.044
","
MSI GL75 LEOPARD CORE İ7 10750H 2.6GHZ-16GB-1TB+512 SSD-17.3""-GTX1660TI 6GB-W10
","
10
","
(10)
"
"
11.499
","
LENOVO IP GAMING 3 CORE İ5 10300H 2.4GHZ-16GB-1TB+256SSD-15.6""-GTX1650TI 4GB-W10
","
80
","
(21)
"
"
22.199
","
MACBOOK PRO TOUCH BAR CORE İ5 2.0GHZ-16GB-1TB SSD-RETINA 13""-INT-SILVER
","
0
","
(0)
"
"
19.999
","
MACBOOK PRO TOUCH BAR CORE İ5 2.0GHZ-16GB-512GBSSD-RETINA 13""-INT-SPACE GREY
","
10
","
(2)
"
"
17.999
","
LENOVO YOGA S940 CORE İ7 1065G7 1.3GHZ-16GB RAM-1TB SSD-14''-INT-W10
","
10
","
(1)
"
"
29.399
","
MACBOOK PRO TOUCH BAR CORE İ9 2.3GHZ-16GB-1TB SSD-RETINA 16""-4GB-SPACE GREY
","
10
","
(4)
"
"
24.999
","
MACBOOK PRO TOUCH BAR CORE İ7 2.6GHZ-16GB-512GBSSD-RETINA 16""-4GB-SILVER
","
10
","
(3)
"
"
24.999
","
MACBOOK PRO TOUCH BAR CORE İ7 2.6GHZ-16GB-512GBSSD-RETINA 16""-4GB-SPACE GREY
","
10
","
(1)
"
"
16.950
","
MICROSOFT SURFACE PRO 6 CORE İ5 8250U 1.6GHZ-8GB RAM-256GB SSD-INT-12.3""W10
","
10
","
(3)
"
"
12.828
","
MICROSOFT SURFACE PRO 6 CORE İ5 8250U 1.6GHZ-8GB RAM-128GB SSD-INT-12.3""W10
","
80
","
(5)
"
